,Doctor's Name,speciality,link
0,"Diem Truong, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
1,"Monique Rivera, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
2,"Ronald Pratt, LAc, DiplAc, MA, MSAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
3,"Daniel Camburn, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
4,"Deborah Barbiere, LAc, MSTOM, PsyD",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
5,"Miguel Maya, MSTOM, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
6,"Elizabeth Healy, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
7,"Irina Logman, LAc, DACM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
8,"Han Jun, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
9,"Michiko Yoshifuji, DiplAc, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
10,"Maiko Hattori, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
11,"Diem Truong, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
12,"Jennifer Beltrani, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
13,"Dr. Jimo (Timothy) Kang, LAc, PhD",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
14,"Dr. Jimo (Timothy) Kang, LAc, PhD",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
15,"Dr. Brandon Cooper, DC, LAc, DiplAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
16,"Timothy Klemt, LAc, DACM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
17,"Ji Sung Kim, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
18,"Kirsten Manges, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
19,"Jing Jiang, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
20,"Diem Truong, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
21,"Kirsten Manges, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
22,"Jing Jiang, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
23,"Dr. Ai Lee, PhD",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
24,"Erin Lee, LAc, DACM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
25,"Jonathan Simon, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
26,"Tammy Huang, MSTOM, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
27,"Dong Hwan Lee, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
28,"Jodi Gentili, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
29,"Boris Bernadsky, LAc, LMT",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
30,"Xinyu (Allison) Cheng, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
31,"Qian Li, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
32,"Anna Hajosi, LAc, MSAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
33,"Deborah Valentin, LAc, MS",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
34,"Ki Yin Cheng, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
35,"Qi Yu, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
36,"Dr. Brandon Cooper, DC, LAc, DiplAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
37,"Lisa Sumption, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
38,"Youngsoo Oh, PT",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
39,"Enensaauas Rastrygina, DAc, LAc, LMT",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
40,"Diem Truong, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
41,"Samantha Hewwing, LAc, DACM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
42,"Flora Luyando, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
43,"Yuji Kim, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
44,"Zhiwen Zhong, LAc, DACM, MSTCM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
45,"Lida Ahmady, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
46,"Maya Kron, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
47,"Yoko Kuo, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
48,"Heeock Lee, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
49,"Itorye Silver, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
50,"Julie Cho, DAOM, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
51,"Frank Muscara, LAc, DACM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
52,"Yang Yang Zucco, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
53,"Kelsey Tangel, DACM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
54,"Joelle Ludwig, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
55,"Joannie Campuzano, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
56,"Joyce Lilly, DAc, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
57,"Li Ting Lin, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
58,"Philip Trigiani, LAc, DAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
